match_id,start_time,win,hero_id,account_id,leaguename,gold_per_min,net_worth,gold,kills,tower_damage,duration,lane,lane_role
6653637943,1657339909,false,53,250544263,Titus Colosseum Cup,569,15770,1140,3,1221,1754,1,3
6653911377,1657357190,false,53,76082922,Destiny league,549,15317,892,3,1559,1794,1,3
6654090150,1657366555,true,53,1312740399,"Ultras Dota Pro League ",654,16985,3210,10,19823,1547,3,3
6656721191,1657512120,false,53,209165399,Titus Colosseum Cup,472,10399,449,4,1264,1319,1,1
6657130147,1657540852,true,53,132851371,Dota 2 Champions League 2021-2022 Season,894,40098,9648,10,28469,2938,3,1
6657972166,1657586272,true,53,59752811,Thunderpick Bitcoin Series,593,21647,6622,5,10388,2435,3,1
6658023411,1657591653,false,53,85367644,Thunderpick Bitcoin Series,442,11580,2130,0,11727,1846,1,1
6658141348,1657602904,false,53,1312740399,"Ultras Dota Pro League ",434,9842,1192,0,6657,1315,3,3
6658904045,1657643886,true,53,155370747,Dota 2 Champions League 2021-2022 Season,701,26720,4570,9,18541,2332,1,3
6659582275,1657695291,true,53,412910858,Destiny league,752,24276,2576,13,9039,2263,3,3
6660871188,1657775009,true,53,162539779,Asia Battle Arena,810,22700,2700,10,7885,1701,3,1
6660953769,1657782385,true,53,176158708,Destiny league,483,15927,2377,1,18953,1957,3,3
6662754663,1657890925,true,53,216284105,Meister Provider Dota 2 Indonesia 2022,676,10746,1641,11,9049,934,3,1
6663760635,1657948184,false,53,254710104,Asia Battle Arena,902,41321,3596,16,11169,3349,1,1
6663831927,1657952923,true,53,254710104,Asia Battle Arena,721,18818,2243,22,4646,1533,3,1
6663890419,1657956692,false,53,128367019,TopClans2022 Summer Invitional,512,14369,1144,4,2475,1891,1,3
6664002830,1657962564,true,53,176158708,Destiny league,412,12732,4407,0,8942,2002,3,3
6664762074,1657994640,false,53,191362875,Thunderpick Bitcoin Series,848,34584,5309,18,14206,2977,3,3
6664870055,1657999696,true,53,1261414529,Thunderpick Bitcoin Series,559,15112,2687,4,16908,1879,1,3
6665353816,1658035345,false,53,374150060,Khaz Modan Cup Series Season 3,290,6108,958,2,0,1297,5,4
6665371502,1658036503,true,53,247018516,Asia Battle Arena,485,9739,1364,4,645,1215,3,3
6665457039,1658041546,true,53,153727297,Asia Battle Arena,655,13060,3310,9,16466,1182,1,1
6665530799,1658045885,false,53,923473386,Khaz Modan Cup Series Season 3,453,11319,269,1,446,1613,1,1
6665530990,1658045359,true,53,899495504,Titus Colosseum Cup,689,26345,2020,10,23219,2473,3,3
6665634983,1658050792,false,53,330534326,TopClans2022 Summer Invitional,646,22515,1215,5,5258,2200,1,1
6666225827,1658073951,true,53,216284105,Meister Provider Dota 2 Indonesia 2022,560,10202,2447,3,2572,1040,3,1
6666901923,1658120586,true,53,254710104,Titus Colosseum Cup,643,13318,1968,4,14306,1363,3,1
6667145190,1658138752,true,53,145993649,ESL One Malaysia 2022 Qualifiers powered by Intel,677,21088,1338,8,8893,1938,3,3
6667146750,1658138846,true,53,153727297,ESL One Malaysia 2022 Qualifiers powered by Intel,785,29306,1281,8,23614,2310,3,1
6667177868,1658140739,false,53,1170923497,Destiny league,588,16788,1063,5,3822,1838,3,1
6667234541,1658143841,true,53,1173255449,Destiny league,672,18876,651,11,9172,1672,1,1
6667305314,1658147179,true,53,1173255449,Destiny league,613,16366,2316,6,8085,1641,3,1
6667411276,1658151435,true,53,153727297,ESL One Malaysia 2022 Qualifiers powered by Intel,808,27482,3307,6,14326,2083,3,1
6668150103,1658193432,true,53,202464276,ESL One Malaysia 2022 Qualifiers powered by Intel,785,33771,1721,7,16460,2207,1,1
6668150769,1658193513,false,53,368668788,ESL One Malaysia 2022 Qualifiers powered by Intel,442,8841,716,2,1474,1240,1,1
6668154335,1658193855,true,53,249651648,ESL One Malaysia 2022 Qualifiers powered by Intel,723,26798,1273,9,15706,2278,1,1
6668214992,1658199924,true,53,254710104,Titus Colosseum Cup,580,13682,1082,4,8754,1373,1,1
6668488644,1658223069,true,53,886742476,Khaz Modan Cup Series Season 3,805,27183,4008,14,13960,2142,3,1
6669118010,1658252002,false,53,851178649,Dota 2 Champions League 2021-2022 Season,626,19381,1831,3,7552,1989,1,1
6669394757,1658268012,false,53,116080282,TodayPay Dota2 Invitational Season 1,480,12344,444,1,292,1706,1,1
6669455743,1658273257,false,53,173971950,ESL One Malaysia 2022 Qualifiers powered by Intel,603,21299,3074,3,6085,2230,1,1
6669611769,1658289953,false,53,202984325,Destiny league,533,16905,905,2,10574,2045,3,3
6669704190,1658298434,false,53,236322966,Titus Colosseum Cup,455,8771,521,8,714,1352,3,1
6669833934,1658308212,true,53,360648679,Asian Tigers 3,683,22392,3417,5,10921,2063,3,1
6669894503,1658312143,false,53,327800297,ESL One Malaysia 2022 Qualifiers powered by Intel,777,29024,424,8,10553,2947,3,1
